,Name,Album,Artist,Link,
0,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/track/20on25jryn53hWghthWWW3?autoplay=true, Chris Linton | Spotify
1,Fearless,Fearless,Lost Sky,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z?autoplay=true,
2,Ark,Ark,Star Party,https://open.spotify.com/album/278z9UXJaMNDH9Bel9uAxV,
3,Supersonic,Supersonic,Rob Gasser,https://open.spotify.com/track/0OeFuOAu0P1ONYz5EDdqb2,
4,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/track/4C8rq3ng0Yhbgo0kpwIhNB,
5,Mortals,Mortals,Warriyo,https://open.spotify.com/album/3udIvIqyBG1RrHxXrUZDoK,
6,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/artist/2w9zwq3AktTeYYMuhMjju8,
7,Fearless,Fearless,Lost Sky,https://open.spotify.com/album/4l9wMVL4XAM5jPMXP5RAbL,
8,Ark,Ark,Star Party,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8,
9,Ark,Ark,Star Party,https://open.spotify.com/album/5itVTi6rI3MlOcWBxROxd9,
10,Mortals,Mortals,Warriyo,https://open.spotify.com/album/35Q09Y0b7ZxOoCdF7sBiGf,
11,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2,
12,Supersonic,Supersonic,Rob Gasser,https://open.spotify.com/album/6AVjuEsz5TVQrOoRGIaicN,
13,Feel Good,Feel Good,Syn Cole,https://open.spotify.com/album/31t9iLimmriRn3Mviqywzw,
14,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/album/2TvfE8CY37OQIPVGcWYpEA,

